I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39,I40,I41,I42,I43,I44,I45,I46,I47,I48,I49,I50,I51,I52,I53,I54,I55,I56,I57,I58,I59,I60,I61,I62,I63
124211,-999,-999,0,-999,-999,0,2.46344662,58.690773,-10.2944374,12.0486679,-999,-999,0,-999,-999,0,-4.56140137,-4.45613861,-33.3951988,18.1738472,-40.0574913,-33.9668274,2,-999,-999,0,-2.67742157,53.0645142,-33.1377182,19.3595123,-2.9853754,1.20292568,2,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0384586044,-0.107621141,64.052002,7,1,144.680359,0,1.77566576,0.273112535,1.98126459,1078.31445,0.225332648,-3.77466369,-1.7519356,0,0,3
124216,-999,-999,0,-999,-999,0,4.59578705,59.0495758,-10.2944374,12.0486679,-999,-999,0,-999,-999,0,-3.35848999,-3.62264252,-35.4469719,16.0845737,-40.0320053,-34.983696,4,-999,-999,0,-4.16129303,52.4032211,-32.8017883,18.9201565,-2.97399426,1.18415153,4,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0347184576,-0.0994248912,63.5805435,7,1,144.680359,0,1.77566576,0.288582921,1.97907066,1079.06506,0.645424426,-3.56901169,-1.77731538,0,0,3
124221,-999,-999,0,-999,-999,0,4.59578705,59.0495758,-10.2944374,12.0486679,-999,-999,0,-999,-999,0,-3.35848999,-3.62264252,-35.4469719,16.0845737,-40.0320053,-34.983696,4,-999,-999,0,-4.16129303,52.4032211,-32.8017883,18.9201565,-2.97399426,1.18415153,4,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0347184576,-0.0994248912,63.5805435,7,1,144.873413,0,1.75289381,0.288582921,1.97907066,1078.55383,1.049492,-3.37684393,-1.79205346,0,0,3
124226,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,-0.65789032,-3.84210587,-29.8313198,12.8714724,-41.7759018,-35.9836349,3,-999,-999,0,-6.82258606,50.8225784,-31.364418,18.8977928,-2.87401724,1.16861725,4,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0157057047,-0.10418421,58.6498451,6,1,144.873413,0,1.75289381,0.290459275,1.97879601,1079.85828,1.44784427,-3.19792199,-1.8111155,0,0,3
124231,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,-0.65789032,-3.84210587,-29.8313198,12.8714724,-41.7759018,-35.9836349,3,-999,-999,0,-6.82258606,50.8225784,-31.364418,18.8977928,-2.87401724,1.16861725,4,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0157057047,-0.10418421,58.6498451,6,1,145.136063,0,1.76702321,0.290459275,1.97879601,1079.45605,1.85260165,-3.02706671,-1.82642007,0,0,3
124236,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,-0.163269043,-0.489795685,-38.8943253,17.4549332,-42.0892944,-36.9262962,3,-999,-999,0,-8.09999847,50.0333405,-31.3752823,18.7544289,-2.97039557,1.25724757,3,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0366717689,-0.0950498953,54.4988861,6,1,145.136063,0,1.76702321,0.244060189,1.9850527,1073.09229,2.25618863,-2.86129856,-1.83381772,0,0,3
124241,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,-0.163269043,-0.489795685,-38.8943253,17.4549332,-42.0892944,-36.9262962,3,-999,-999,0,-8.09999847,50.0333405,-31.3752823,18.7544289,-2.97039557,1.25724757,3,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0366717689,-0.0950498953,54.4988861,6,1,145.463211,0,1.7974999,0.244060189,1.9850527,1072.34485,2.63408589,-2.70672798,-1.84248698,0,0,3
124246,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,1.1016922,0.288135529,-31.1753216,18.240221,-42.139286,-37.1793594,3,-999,-999,0,-9.22221375,49.2380981,-31.0442753,19.3353119,-2.90473962,1.22198033,3,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0373504758,-0.092008695,58.364296,6,1,145.463211,0,1.7974999,0.368787944,2.97724628,1083.74536,2.99069929,-2.55732012,-1.85037589,0,0,3
124251,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,1.1016922,0.288135529,-31.1753216,18.240221,-42.139286,-37.1793594,3,-999,-999,0,-9.22221375,49.2380981,-31.0442753,19.3353119,-2.90473962,1.22198033,3,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0373504758,-0.092008695,58.364296,6,1,145.852264,0,1.84248376,0.368787944,2.97724628,1083.71313,3.34011412,-2.4081912,-1.85541677,0,0,3
124256,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,2.18334198,1.10000229,-32.5048676,17.8734589,-42.1097488,-37.9425507,3,-999,-999,0,-10.627121,48.5593185,-30.5768433,18.6146603,-2.88689232,1.2020725,3,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0376661308,-0.0868236274,57.7343788,6,1,145.852264,0,1.84248376,0.38052249,2.97576952,1083.4541,3.68541908,-2.25449228,-1.85369658,0,0,3
